ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Site,Lat,Lon,Count,Dive,Sal_ppt,TempC,O2,Depth,Cond,Substrate,Thickness,ORP_sd_100,SENTRY_dive
CR18-0846,1,pacifica,4.582254253,2.912476371,2.918761815,1.70137051,0.102634688,Mound 11,8.922083333,-84.30446,6,4988,34.58076071,4.682485714,35.958122,1017.191536,3.3260375,Wood ,0.31,-0.18215363,504
CR18-0846,2,pacifica,4.968147448,3.35741966,3.030907372,2.161862004,0.112641777,Mound 11,8.922083333,-84.30446,6,4988,34.58076071,4.682485714,35.958122,1017.191536,3.3260375,Wood ,0.31,-0.18215363,504
CR18-0846,3,pacifica,4.333648393,3.057372401,2.854584121,1.972967864,0.121077505,Mound 11,8.922083333,-84.30446,6,4988,34.58076071,4.682485714,35.958122,1017.191536,3.3260375,Wood ,0.32,-0.18215363,504
CR18-0846,4,pacifica,4.581261815,3.069281664,2.646502836,2.058979206,0.119009924,Mound 11,8.922083333,-84.30446,6,4988,34.58076071,4.682485714,35.958122,1017.191536,3.3260375,Wood ,0.4,-0.18215363,504
CR18-0846,5,pacifica,3.998369565,2.730198488,2.458931947,1.796644612,0.088740548,Mound 11,8.922083333,-84.30446,6,4988,34.58076071,4.682485714,35.958122,1017.191536,3.3260375,Wood ,0.4,-0.18215363,504
CR19-0031,1,laevis,3.55739603,2.442060491,NA,NA,0,Jaco Summit,9.174033045,-84.79990415,6,213,34.5801,5.9728,4.016,742.291,3.43,Mussel,0.24,NA,NA
CR19-0031,2,laevis,4.007466919,2.573724008,2.643194707,1.405954631,0,Jaco Summit,9.174033045,-84.79990415,6,213,34.5801,5.9728,4.016,742.291,3.43,Mussel,0.4,NA,NA
CR19-0031,3,laevis,5.254796786,3.162570888,3.411672968,2.117533081,0,Jaco Summit,9.174033045,-84.79990415,6,213,34.5801,5.9728,4.016,742.291,3.43,Mussel,0.22,NA,NA
CR19-0031,4,laevis,4.94168242,3.072589792,3.142060491,2.149952741,0,Jaco Summit,9.174033045,-84.79990415,6,213,34.5801,5.9728,4.016,742.291,3.43,Mussel,0.27,NA,NA
CR19-0031,5,laevis,5.470982987,2.987240076,3.050425331,1.979914934,0,Jaco Summit,9.174033045,-84.79990415,6,213,34.5801,5.9728,4.016,742.291,3.43,Mussel,0.25,NA,NA
